x  y          cluster
0  0.0        1
1  162.25     1
2  256.5      1
3  288.75     2
4  265.0      2
5  191.25     2
6  73.5       3
7  -82.25     3
8  -270.0     3
9  -483.75    4
10 -717.5     4
11 -965.25    4
12 -1221.0    5
13 -1478.75   5
14 -1732.5    5
15 -1976.25   6
16 -2204.0    6
17 -2409.75   6
18 -2587.5    7
19 -2731.25   7
20 -2835.0    7
21 -2892.75   8
22 -2898.5    8
23 -2846.25   8
24 -2730.0    9
25 -2543.75   9
26 -2281.5    9
27 -1937.25  10
28 -1505.0   10
29 -978.75   10
30 -352.5    11
31 379.75    11
32 1224.0    11
33 2186.25   12
34 3272.5    12
35 4488.75   12
